Dataset,Max Depth,Mean Accuracy
vgg16_1,2,0.6737500000000001
vgg16_1,3,0.6725000000000001
vgg16_1,4,0.68625
vgg16_1,5,0.65625
vgg16_1,6,0.6725000000000001
vgg16_1,7,0.64125
vgg16_1,8,0.6424999999999998
vgg16_1,9,0.6587500000000001
vgg16_1,10,0.6375
vgg16_2,2,0.68875
vgg16_2,3,0.66875
vgg16_2,4,0.675
vgg16_2,5,0.6487499999999999
vgg16_2,6,0.64625
vgg16_2,7,0.63875
vgg16_2,8,0.63625
vgg16_2,9,0.6425
vgg16_2,10,0.61875
vgg16_3,2,0.7637500000000002
vgg16_3,3,0.7525
vgg16_3,4,0.72375
vgg16_3,5,0.7275
vgg16_3,6,0.7137500000000001
vgg16_3,7,0.705
vgg16_3,8,0.6925000000000001
vgg16_3,9,0.6975
vgg16_3,10,0.7050000000000001
vgg19_1,2,0.6725000000000001
vgg19_1,3,0.6975
vgg19_1,4,0.6775
vgg19_1,5,0.68625
vgg19_1,6,0.66875
vgg19_1,7,0.67125
vgg19_1,8,0.68875
vgg19_1,9,0.67
vgg19_1,10,0.6625
vgg19_2,2,0.64125
vgg19_2,3,0.6425
vgg19_2,4,0.6425
vgg19_2,5,0.6425000000000001
vgg19_2,6,0.6425
vgg19_2,7,0.6387499999999999
vgg19_2,8,0.63
vgg19_2,9,0.63375
vgg19_2,10,0.64
vgg19_3,2,0.6512499999999999
vgg19_3,3,0.64375
vgg19_3,4,0.68
vgg19_3,5,0.67625
vgg19_3,6,0.655
vgg19_3,7,0.635
vgg19_3,8,0.6462499999999999
vgg19_3,9,0.6387499999999999
vgg19_3,10,0.625
pca_1,2,0.6124999999999999
pca_1,3,0.62375
pca_1,4,0.6525000000000001
pca_1,5,0.64
pca_1,6,0.6325000000000001
pca_1,7,0.6362499999999999
pca_1,8,0.62375
pca_1,9,0.6087499999999999
pca_1,10,0.6125
pca_2,2,0.66625
pca_2,3,0.65375
pca_2,4,0.64
pca_2,5,0.6399999999999999
pca_2,6,0.64375
pca_2,7,0.625
pca_2,8,0.61125
pca_2,9,0.6375
pca_2,10,0.635
pca_3,2,0.68625
pca_3,3,0.69375
pca_3,4,0.6925
pca_3,5,0.7
pca_3,6,0.68625
pca_3,7,0.6637500000000001
pca_3,8,0.6737499999999998
pca_3,9,0.6675
pca_3,10,0.66125
pca_4,2,0.6249999999999999
pca_4,3,0.62875
pca_4,4,0.64375
pca_4,5,0.6525000000000001
pca_4,6,0.64
pca_4,7,0.6425
pca_4,8,0.64625
pca_4,9,0.625
pca_4,10,0.6412500000000001
pca_5,2,0.6087499999999999
pca_5,3,0.6162500000000001
pca_5,4,0.6325000000000001
pca_5,5,0.6412500000000001
pca_5,6,0.61
pca_5,7,0.63375
pca_5,8,0.6225
pca_5,9,0.61125
pca_5,10,0.6225
pca_6,2,0.6625
pca_6,3,0.65625
pca_6,4,0.66625
pca_6,5,0.6637500000000001
pca_6,6,0.6625
pca_6,7,0.6412500000000001
pca_6,8,0.6412500000000001
pca_6,9,0.6275000000000001
pca_6,10,0.6275
