Dataset,Hidden Neurons,Learning Rate,Iterations,Mean Accuracy,Std Dev Accuracy
VGG_1,256,0.001,500,0.6787500000000001,0.05421312110550358
VGG_1,256,0.001,1000,0.6787500000000001,0.05421312110550358
VGG_1,256,0.001,1500,0.6787500000000001,0.05421312110550358
VGG_1,256,0.01,500,0.6612500000000001,0.03642200571083366
VGG_1,256,0.01,1000,0.6612500000000001,0.03642200571083366
VGG_1,256,0.01,1500,0.6612500000000001,0.03642200571083366
VGG_1,256,0.1,500,0.5237499999999999,0.07125000000000001
VGG_1,256,0.1,1000,0.5237499999999999,0.07125000000000001
VGG_1,256,0.1,1500,0.5237499999999999,0.07125000000000001
VGG_2,256,0.001,500,0.7074999999999999,0.05309190145398826
VGG_2,256,0.001,1000,0.7074999999999999,0.05309190145398826
VGG_2,256,0.001,1500,0.7074999999999999,0.05309190145398826
VGG_2,256,0.01,500,0.69875,0.05287071495639151
VGG_2,256,0.01,1000,0.69875,0.05287071495639151
VGG_2,256,0.01,1500,0.69875,0.05287071495639151
VGG_2,256,0.1,500,0.5,0.0
VGG_2,256,0.1,1000,0.5,0.0
VGG_2,256,0.1,1500,0.5,0.0
VGG_3,256,0.001,500,0.705,0.039210967853395305
VGG_3,256,0.001,1000,0.705,0.039210967853395305
VGG_3,256,0.001,1500,0.705,0.039210967853395305
VGG_3,256,0.01,500,0.6925,0.054829280498653266
VGG_3,256,0.01,1000,0.6925,0.054829280498653266
VGG_3,256,0.01,1500,0.6925,0.054829280498653266
VGG_3,256,0.1,500,0.52625,0.07874999999999999
VGG_3,256,0.1,1000,0.52625,0.07874999999999999
VGG_3,256,0.1,1500,0.52625,0.07874999999999999
VGG_4,256,0.001,500,0.6675000000000001,0.053677276383959714
VGG_4,256,0.001,1000,0.6675000000000001,0.053677276383959714
VGG_4,256,0.001,1500,0.6675000000000001,0.053677276383959714
VGG_4,256,0.01,500,0.66375,0.054900478139994366
VGG_4,256,0.01,1000,0.66375,0.054900478139994366
VGG_4,256,0.01,1500,0.66375,0.054900478139994366
VGG_4,256,0.1,500,0.5,0.0
VGG_4,256,0.1,1000,0.5,0.0
VGG_4,256,0.1,1500,0.5,0.0
VGG_5,256,0.001,500,0.635,0.05024937810560445
VGG_5,256,0.001,1000,0.635,0.05024937810560445
VGG_5,256,0.001,1500,0.635,0.05024937810560445
VGG_5,256,0.01,500,0.62,0.04479118216792229
VGG_5,256,0.01,1000,0.62,0.04479118216792229
VGG_5,256,0.01,1500,0.62,0.04479118216792229
VGG_5,256,0.1,500,0.5,0.0
VGG_5,256,0.1,1000,0.5,0.0
VGG_5,256,0.1,1500,0.5,0.0
VGG_6,256,0.001,500,0.60375,0.036250000000000004
VGG_6,256,0.001,1000,0.60375,0.036250000000000004
VGG_6,256,0.001,1500,0.60375,0.036250000000000004
VGG_6,256,0.01,500,0.6087499999999999,0.06686039560158165
VGG_6,256,0.01,1000,0.6087499999999999,0.06686039560158165
VGG_6,256,0.01,1500,0.6087499999999999,0.06686039560158165
VGG_6,256,0.1,500,0.5,0.0
VGG_6,256,0.1,1000,0.5,0.0
VGG_6,256,0.1,1500,0.5,0.0
PCA_1,6,0.001,500,0.70875,0.03667850187780301
PCA_1,6,0.001,1000,0.70875,0.03667850187780301
PCA_1,6,0.001,1500,0.70875,0.03667850187780301
PCA_1,6,0.01,500,0.7024999999999999,0.03391164991562635
PCA_1,6,0.01,1000,0.7024999999999999,0.03391164991562635
PCA_1,6,0.01,1500,0.7024999999999999,0.03391164991562635
PCA_1,6,0.1,500,0.7025,0.0361420807370024
PCA_1,6,0.1,1000,0.7025,0.0361420807370024
PCA_1,6,0.1,1500,0.7025,0.0361420807370024
PCA_2,6,0.001,500,0.70875,0.06099436449377928
PCA_2,6,0.001,1000,0.70875,0.06099436449377928
PCA_2,6,0.001,1500,0.70875,0.06099436449377928
PCA_2,6,0.01,500,0.69625,0.05591567311586261
PCA_2,6,0.01,1000,0.69625,0.05591567311586261
PCA_2,6,0.01,1500,0.69625,0.05591567311586261
PCA_2,6,0.1,500,0.6849999999999999,0.0532681893816563
PCA_2,6,0.1,1000,0.6849999999999999,0.0532681893816563
PCA_2,6,0.1,1500,0.6849999999999999,0.0532681893816563
PCA_3,6,0.001,500,0.73125,0.06078908207893914
PCA_3,6,0.001,1000,0.73125,0.06078908207893914
PCA_3,6,0.001,1500,0.73125,0.06078908207893914
PCA_3,6,0.01,500,0.735,0.052678268764263715
PCA_3,6,0.01,1000,0.7337499999999999,0.05125000000000001
PCA_3,6,0.01,1500,0.7337499999999999,0.05125000000000001
PCA_3,6,0.1,500,0.7437499999999999,0.05597153294309527
PCA_3,6,0.1,1000,0.7437499999999999,0.05597153294309527
PCA_3,6,0.1,1500,0.7437499999999999,0.05597153294309527
PCA_4,6,0.001,500,0.7424999999999999,0.06595452979136458
PCA_4,6,0.001,1000,0.7424999999999999,0.06595452979136458
PCA_4,6,0.001,1500,0.7424999999999999,0.06595452979136458
PCA_4,6,0.01,500,0.73125,0.06104557723537391
PCA_4,6,0.01,1000,0.73125,0.06104557723537391
PCA_4,6,0.01,1500,0.73125,0.06104557723537391
PCA_4,6,0.1,500,0.7450000000000001,0.05159941860137574
PCA_4,6,0.1,1000,0.7450000000000001,0.05159941860137574
PCA_4,6,0.1,1500,0.7450000000000001,0.05159941860137574
PCA_5,6,0.001,500,0.7162499999999999,0.05275236961502298
PCA_5,6,0.001,1000,0.7162499999999999,0.05275236961502298
PCA_5,6,0.001,1500,0.7162499999999999,0.05275236961502298
PCA_5,6,0.01,500,0.6975,0.04602988159880491
PCA_5,6,0.01,1000,0.6975,0.04602988159880491
PCA_5,6,0.01,1500,0.6975,0.04602988159880491
PCA_5,6,0.1,500,0.6975,0.04866980583482945
PCA_5,6,0.1,1000,0.6975,0.04866980583482945
PCA_5,6,0.1,1500,0.6975,0.04866980583482945
PCA_6,6,0.001,500,0.7137499999999999,0.04162706451336678
PCA_6,6,0.001,1000,0.7162499999999999,0.03834465412544491
PCA_6,6,0.001,1500,0.7162499999999999,0.03834465412544491
PCA_6,6,0.01,500,0.7249999999999999,0.04873397172404481
PCA_6,6,0.01,1000,0.7249999999999999,0.04873397172404481
PCA_6,6,0.01,1500,0.7249999999999999,0.04873397172404481
PCA_6,6,0.1,500,0.7074999999999999,0.05190134873006673
PCA_6,6,0.1,1000,0.7074999999999999,0.05190134873006673
PCA_6,6,0.1,1500,0.7074999999999999,0.05190134873006673
